Job Title,Company Name,Location,Job Type,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL,Location Clean,Min Salary,Max Salary,Average Salary
Sürücü,"""Sahil Transport"" MMC","Bakı, Bakı şəhəri,Qaradağ rayonu",Tam-ştat,Digər,1500 - 2000 AZN,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/surucu-1129546,Unknown,Bakı,1500.0,2000.0,1750.0
Sürücü (Tent-tır),"""Sahil Transport"" MMC","Bakı, Bakı şəhəri,Qaradağ rayonu",Tam-ştat,Digər,1500 - 3000 AZN,25 aprel 2025,25 may 2025,https://www.hellojob.az/vakansiya/surucu-1129349,Unknown,Bakı,1500.0,3000.0,2250.0
Qrafik Dizayner,Qavo,"Bakı, Nəriman Nərimanov",Tam-ştat,Qrafik dizayn,Razılaşma ilə,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/qrafik-dizayner-1113658,https://www.hellojob.az/resized/companies/GXVMSIPyohw64aKh3VQWBHpV0NfmtjLycKkqs7Dw-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Leader of Tech Loyalty Platform Tribe,Kapital Bank,Bakı,Tam-ştat,Digər,Razılaşma ilə,24 aprel 2025,24 iyun 2025,https://www.hellojob.az/vakansiya/leader-of-tech-loyalty-platform-tribe-4610,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Bakı,Unknown,Unknown,Unknown
Satış təmsilçisi,Zeta Group (Ted Baker),"Bakı, Vurgun Residence",Tam-ştat,Digər,500 - 600 AZN,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/satis-temsilcisi-1111109,https://www.hellojob.az/resized/companies/8a1f902852e4197991b86ee9f43e0df1-120--resize.webp,Bakı,500.0,600.0,550.0
SDET üzrə Java Təlimçi,CAPS Academy,Bakı,Tam-ştat,İT mütəxəssisi / məsləhətçi,Razılaşma ilə,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/sdet-uzre-java-telimci,https://www.hellojob.az/resized/companies/eN7TpSCEKmi2QGihoESXsKLmiPFpvuUjTN3kqpLU-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Satış məsləhətçisi,Zeta Group,"Bakı, Vurgun Residence",Tam-ştat,Digər,500 - 600 AZN,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/satis-meslehetcisi-1108359,https://www.hellojob.az/resized/companies/a77b509ec46f32a313366f4e127f7e36-120--resize.webp,Bakı,500.0,600.0,550.0
Texnik-fəhlə,INEX MEDİCAL,"Bakı, Çapayev",Tam-ştat,Digər,600 AZN,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/texnik-fehle-1105363,Unknown,Bakı,600.0,600.0,600.0
Brend Menecer,INEX MEDİCAL,"Bakı, Çapayev",Tam-ştat,Digər,800 AZN,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/brend-menecer,Unknown,Bakı,800.0,800.0,800.0
Müxbir,INEX MEDİCAL,"Bakı, Çapayev",Tam-ştat,Digər,1000 AZN,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/muxbir-1104761,Unknown,Bakı,1000.0,1000.0,1000.0
